accuracy,precision,recall,f1
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9629629629629629,1.0,0.875,0.9333333333333333
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.8518518518518519,0.75,0.75,0.75
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9629629629629629,1.0,0.8888888888888888,0.9411764705882353
1.0,1.0,1.0,1.0
0.9259259259259259,0.8,1.0,0.888888888888889
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9629629629629629,1.0,0.875,0.9333333333333333
1.0,1.0,1.0,1.0
0.9259259259259259,0.875,0.875,0.875
1.0,1.0,1.0,1.0
