First Model Name,Second Model Name,t,p,% Chance First Better,% Chance Second Better
ET,DT,1.8,0.03893972618412362,95.6,4.400000000000006
ET,RF,3.91,0.000131528971410647,99.95,0.04999999999999716
ET,XGBoost,4.78,7.186736766000403e-06,99.99,0.010000000000005116
ET,Linear,9.54,2.1616568169659312e-13,100.0,0.0
DT,RF,0.06,0.4773084744603604,52.25,47.75
DT,XGBoost,0.68,0.2493735162316167,74.8,25.200000000000003
DT,Linear,6.65,8.163229279209595e-09,100.0,0.0
RF,XGBoost,0.97,0.16893141364632713,82.72,17.28
RF,Linear,7.43,4.541274872934006e-10,100.0,0.0
XGBoost,Linear,7.51,3.445191247085644e-10,100.0,0.0
