full_id,comment
1050360103_0,n
1050360103_1,n
1050360103_2,n
1050360104_0,g
1050360104_1,all three? 
1050360104_11,g
1050360104_12,g
1050360104_13,g
1050360104_14,g
1050360104_5,g
1050360104_6,g
1050360104_7,g
1050360104_8,only right two
1050360104_9,g
1050360105_1,could have subharmonics? but that would mess with structure 
1050360105_15,g
1050360105_16,far left could be subharmonic? but that would mess with consistency and be a rare class
1050360105_17,g
1050360105_18,g
1050360105_19,g
1050360105_2,g
1050360105_21,maybe three? 
1050360105_23,maybe three? it would be fund., harmonic, and subharmonic
1050360105_26,just left two? 
1050360105_28,g
1050360105_29,g
1050360105_4,g
1050360106_0,left two
1050360106_1,left two
1050360106_2,left two
1050360106_3,left two
1050360106_4,g
1050360106_5,left two
1050360106_6,left two
1050360106_7,just two? 
1050360106_8,g
1050360106_9,right two
1050360107_0,g
1050360107_1,g
1050360108_4,just two? 
1050360108_5,crazy? 
1050360108_8,g
1050360108_9,first and third
1050360109_10,g
1050360109_2,just right two? 
1050360109_3,g
1050360109_5,left two
1050360109_8,g
1050360110_0,g
1050360110_3,g
1050360110_4,g
1050360110_5,right two
1050360110_6,g
1050360111_2,g
1050360111_3,this is a little crazy? 
1050360111_6,which ones? 
1050360112_1,g
1050360112_3,right only? what kind is it? 
1050360113_0,just right? 
1050360113_1,just right? what kind is this? rare class?
1050360113_2,just right? 
1050360113_4,just right? 
1050360113_7,yes? kinda hidden i'm leaning no because class consistency
1050360114_1,g
1050360114_2,g
1050360115_10,g
1050360115_12,very sketch? i lean no
1050360115_14,once more, very sketch? i lean no
1050360115_15,no
1050360115_16,g
1050360115_17,g
1050360115_18,g
1050360115_19,g
1050360115_2,g
1050360115_20,g
1050360115_21,i think none?
1050360115_22,no? 
1050360115_3,no? 
1050360115_4,g
1050360115_6,g
1050360115_7,what the? 
1050360116_0,no?
1050360116_1,1.25? but no for consistency 
1050360116_2,g
1050360116_3,g
1050360116_4,perhaps if we let lower range? but no for consistency? 
1050360116_6,g
1050360116_7,not sure? 
1050360116_8,yes? 
1050360116_9,yes? 
1050360117_0,yes? 
1050360117_1,g
1050360117_2,g
1050360117_3,not sure? 
1050360117_4,yes? 
1050360117_6,sketchy? 
1050360117_7,g
1050360117_8,g
1050360118_0,these are all really sketchy? 
1050360118_1,g
1050360118_3,g
1050360118_4,g
1050360118_5,g
1050360119_0,yeah? still kinda sketchy
1050360119_1,kinda sketchy? 
1050360119_3,kinda sketchy? 
1050360119_4,kinda sketchy? just right one? 
1050360119_5,yes? not a huge fan 
1050360120_0,g
1050360120_1,crazy? 
1050360120_2,g
1050360120_3,not a huge fan? 
1050360120_4,crazy? 
1050360120_5,g
1050360120_6,g
1050360120_7,g
1130360103_0,g
1130360103_1,g
1130360103_2,g
1130360103_3,rare class? just right middle? 
1130360104_0,g
1130360104_1,just right two
1130360105_0,g
1130360105_1,just middle? 
1130360105_2,g
1130360105_3,both? i don't like how small second loren is
1130360106_0,just right
1130360106_1,just middle? would be important for consistency if both? 
1130360107_0,g
1130360107_11,g
1130360107_12,g
1130360107_13,right two
1130360107_14,g
1130360107_15,right two
1130360107_6,g but count second as harmonic? 
1130360107_7,g 
1130360108_2,right two? i really don't like how small right one is. probably need to fix that for this and others
1130360109_2,g
1130360109_5,g
1130360110_0,just right one? 
1130360110_1,just right two? again not fan of how small right most one is
1130360110_3,just far right? 
1130360110_5,sketchy? 
1130360110_6,g
1130360111_0,g
1130360111_2,g
1130360111_3,g
1130360113_0,just far right? 
1130360113_1,just right two?
1130360130_4,g
1130360130_5,g
1130360130_6,g
1130360130_8,g
1130360130_9,g
1130360131_0,g
1130360131_1,g
1130360131_2,g
1130360131_3,g
1130360131_4,kinda looks like three? but no for consistency 
1130360131_5,g
1130360131_6,g
1130360131_7,g
1130360131_8,g
1130360132_0,g
1130360132_1,g
1130360132_2,g
1130360133_0,g
1130360134_0,g
1130360135_1,g
1130360137_0,g
1130360138_0,g
1130360138_1,g
1130360143_1,g
1130360144_4,g
1130360144_5,g
1130360145_0,g
1130360145_2,g
1130360145_3,g
1130360145_4,g
1130360146_0,g
1130360146_1,g
1130360146_10,g
1130360146_4,g
1130360146_6,g
1130360146_7,g
1130360146_8,no? 
1130360146_9,g
1130360147_2,g
1130360152_0,g
1130360152_1,g
1130360153_0,g
1130360155_0,g
1130360155_1,g
1130360156_0,g
1130360156_1,g
1130360156_3,g
1130360156_5,g
1130360156_6,g
1130360157_0,g
1130360157_2,g
1130360157_3,g
1130360157_4,g
1130360157_5,g
1130360158_2,g
1130360158_3,g
1130360160_0,g
1130360160_1,g
1130360160_2,g
1130360161_0,g
1130360181_0,g
1130360181_2,g
1130360181_3,g
1130360181_5,g
1130360181_6,g
1130360182_0,g
1130360182_1,g
1130360182_2,g
1130360182_3,g
1130360182_4,g
1130360182_9,g
1130360183_0,g
1130360183_1,g
1130360183_2,g
1130360183_3,g
1130360183_4,g
1130360183_6,g
1130360183_7,g
1130360183_8,g
1130360184_0,g
1130360184_10,g
1130360184_11,g
1130360184_12,g
1130360184_13,g
1130360184_14,g
1130360184_15,g
1130360184_16,g
1130360184_17,g
1130360184_3,g
1130360184_4,g
1130360184_7,g
1130360184_9,g
1130360185_0,g
1130360185_1,g
1130360185_2,g
1130360186_0,g
1130360186_1,none? 
1130360187_0,g
1130360188_0,g
1130360199_1,g
1130360199_2,g
1130360201_0,g
1130360202_0,g
1130360203_0,g
1130360203_1,g
1130360203_2,g
1130360204_0,g
1130360205_0,g
1130360205_1,g
1130360205_2,g
1130360206_0,g
1130360206_1,g
1130360207_0,g
1130360207_1,g
1130360208_0,g
1130360209_0,g
1130360226_3,g
1130360226_4,g
1130360226_5,g
1130360226_6,g
1130360227_0,g
1130360227_1,g
1130360228_1,g
1130360228_4,g
1130360229_1,g
1130360229_2,g
1130360230_0,g
1130360230_2,g
1130360231_0,g
1130360231_1,g
1130360231_2,g
1130360231_3,g
1130360232_0,g
1130360232_2,g
1130360248_0,g
